,#genre#

📺央视频道,#genre#
CCTV-15,http://39.135.133.173/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://39.135.133.172/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://39.134.67.155/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://39.134.65.133/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://39.134.66.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://139.196.151.191/rtp/239.45.1.200:5140
CCTV-16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV-16,http://39.134.65.175/PLTV/88888888/224/3221225893/1.m3u8
CCTV-16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV-16,http://39.134.65.196/PLTV/88888888/224/3221225893/1.m3u8
CCTV-16,http://39.134.67.155/PLTV/88888888/224/3221225893/1.m3u8
CCTV-17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17,http://39.134.65.175/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17,http://39.134.67.155/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17,http://39.135.133.172/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17,http://39.135.133.173/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://39.134.65.175/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://39.135.133.172/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://39.135.133.173/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://139.196.151.191/rtp/239.45.3.230:5140
浙江卫视,http://39.134.65.175/PLTV/88888888/224/3221225959/1.m3u8
浙江卫视,http://39.134.67.155/PLTV/88888888/224/3221225959/1.m3u8
浙江卫视,http://39.134.66.108/PLTV/88888888/224/3221225959/1.m3u8
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8
浙江卫视,http://39.134.65.133/PLTV/88888888/224/3221225959/1.m3u8
浙江卫视,http://139.196.151.191/rtp/239.45.3.178:5140
湖南卫视,http://39.134.65.175/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://39.135.133.172/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://39.134.66.108/PLTV/88888888/224/3221225506/1.m3u8
